,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
34,3,Unidade da Federação,24,Cabeças,317479,11,Rondônia,201704,4º trimestre 2017,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
35,3,Unidade da Federação,23,Mil dúzias,1738,11,Rondônia,201704,4º trimestre 2017,29,Quantidade de ovos produzidos,115236,Total do trimestre
36,3,Unidade da Federação,,,...,11,Rondônia,201704,4º trimestre 2017,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
37,3,Unidade da Federação,24,Cabeças,310591,11,Rondônia,201801,1º trimestre 2018,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
38,3,Unidade da Federação,23,Mil dúzias,1619,11,Rondônia,201801,1º trimestre 2018,29,Quantidade de ovos produzidos,115236,Total do trimestre
39,3,Unidade da Federação,23,Mil dúzias,1619,11,Rondônia,201801,1º trimestre 2018,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
40,3,Unidade da Federação,24,Cabeças,301972,11,Rondônia,201802,2º trimestre 2018,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
41,3,Unidade da Federação,23,Mil dúzias,1646,11,Rondônia,201802,2º trimestre 2018,29,Quantidade de ovos produzidos,115236,Total do trimestre
42,3,Unidade da Federação,23,Mil dúzias,1646,11,Rondônia,201802,2º trimestre 2018,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
43,3,Unidade da Federação,24,Cabeças,294535,11,Rondônia,201803,3º trimestre 2018,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
44,3,Unidade da Federação,23,Mil dúzias,1662,11,Rondônia,201803,3º trimestre 2018,29,Quantidade de ovos produzidos,115236,Total do trimestre
45,3,Unidade da Federação,23,Mil dúzias,1662,11,Rondônia,201803,3º trimestre 2018,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
46,3,Unidade da Federação,24,Cabeças,236982,11,Rondônia,201804,4º trimestre 2018,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
47,3,Unidade da Federação,23,Mil dúzias,1313,11,Rondônia,201804,4º trimestre 2018,29,Quantidade de ovos produzidos,115236,Total do trimestre
48,3,Unidade da Federação,23,Mil dúzias,1313,11,Rondônia,201804,4º trimestre 2018,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
49,3,Unidade da Federação,24,Cabeças,265636,11,Rondônia,201901,1º trimestre 2019,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
50,3,Unidade da Federação,23,Mil dúzias,1456,11,Rondônia,201901,1º trimestre 2019,29,Quantidade de ovos produzidos,115236,Total do trimestre
51,3,Unidade da Federação,23,Mil dúzias,1456,11,Rondônia,201901,1º trimestre 2019,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
52,3,Unidade da Federação,24,Cabeças,394408,11,Rondônia,201902,2º trimestre 2019,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
53,3,Unidade da Federação,23,Mil dúzias,1820,11,Rondônia,201902,2º trimestre 2019,29,Quantidade de ovos produzidos,115236,Total do trimestre
